"Agency Name:","County of Court","Warrant Number","Submitted","Nature of the investigation","Primary Nature","Crime of Violence Options","Secondary Nature","Order Served on","Business Name","Items to be searched for:","Start Date for Info","End Date for Info","Grounds for Issuance","Reasons for Delay (if any)","Emergency?","Facts giving rise to the emergency"
"Bell Police Department","Los Angeles","DN20S00051","04/22/2020 - 06:50","The suspect sent pornographic material of the victim to her friends. ","internet revenge porn"," "," ","Device Only"," ","Basic subscriber information from a service provider
Communications (email, text, voice mail, or other communication)
","Tue, 2019-10-01","Fri, 2020-01-31","tends to show that a felony has been committed or that a particular person has committed a felony","lead to destruction of or tampering with evidence","No"," "
"Bell Police Department","Los Angeles","none","04/22/2020 - 06:59","the suspect used force on a 3 year old resulting in death","Homicide"," "," ","Device Only"," ","Stored files (picture, documents, or other files)
Communications (email, text, voice mail, or other communication)
","Fri, 2020-03-13","Sat, 2020-03-14","tends to show that a felony has been committed or that a particular person has committed a felony"," ","No"," "
"California Highway Patrol","Alameda","WAR602218","04/22/2020 - 08:45","Investigation into crimes of ID Theft","Theft/Fraud"," ","ID Theft","Device Only"," ","Stored files (picture, documents, or other files)
Communications (email, text, voice mail, or other communication)
","Tue, 2019-09-03","Wed, 2020-03-04","is possessed by a person with the intent to use it as a eans of committing a public offense or is possessed by another to whom he or she may have delivered it for the purposes of concealing it or preventing its discovery
tends to show that a felony has been committed or that a particular person has committed a felony
"," ","No"," "
"Torrance Police Department","Los Angeles"," ","04/22/2020 - 11:18","459 PC","Theft/Fraud"," "," ","Device Only"," ","Basic subscriber information from a service provider
Location information
Communications (email, text, voice mail, or other communication)
","Mon, 2018-09-03","Tue, 2019-09-03","tends to show that a felony has been committed or that a particular person has committed a felony","lead to flight from prosecution
lead to destruction of or tampering with evidence
lead to intimidation of potential witnesses
otherwise seriously jeopardize an investigation or unduly delay a trial
","No"," "
"Torrance Police Department","Los Angeles","TR19S00470","04/22/2020 - 11:23","459 PC","Theft/Fraud"," "," ","Device Only"," ","Basic subscriber information from a service provider
Other transactional and account records from a service provider
Location information
Stored files (picture, documents, or other files)
Communications (email, text, voice mail, or other communication)
Facebook Account
","Mon, 2018-09-03","Thu, 2019-10-31","tends to show that a felony has been committed or that a particular person has committed a felony","lead to flight from prosecution
lead to destruction of or tampering with evidence
lead to intimidation of potential witnesses
otherwise seriously jeopardize an investigation or unduly delay a trial
","No"," "
"Los Gatos-Monte Sereno Police Department","Santa Clara"," ","04/22/2020 - 15:48","Computer intrusion and cell phone takeover","Computer Crime Fraud"," ","ID Theft","Business","Google LLC","Basic subscriber information from a service provider
Other transactional and account records from a service provider
Location information
Stored files (picture, documents, or other files)
Communications (email, text, voice mail, or other communication)
","Tue, 2019-01-01","Wed, 2020-04-22","tends to show that a felony has been committed or that a particular person has committed a felony","lead to destruction of or tampering with evidence
otherwise seriously jeopardize an investigation or unduly delay a trial
","No"," "
"Oxnard Police Department","Ventura"," ","04/22/2020 - 16:34","Shooting","Crime of Violence","Assault"," ","Business","Google Inc.","Location information","Thu, 2020-01-23","Thu, 2020-01-23","tends to show that a felony has been committed or that a particular person has committed a felony"," ","No"," "
"Oxnard Police Department","Ventura","Signed 11/9/17 ","04/22/2020 - 17:53","Burglary/Felony Evading","Theft/Fraud"," "," ","Business","Sprint/Verizon Wireless/ATT/T-Mobile/Metro PCS","Basic subscriber information from a service provider
Location information
","Wed, 2017-08-23","Fri, 2017-09-01","tends to show that a felony has been committed or that a particular person has committed a felony","lead to flight from prosecution
lead to destruction of or tampering with evidence
lead to intimidation of potential witnesses
otherwise seriously jeopardize an investigation or unduly delay a trial
","No"," "
"Oxnard Police Department","Ventura","Sealed","04/22/2020 - 17:57","Burglary/Felony Evading","Theft/Fraud"," "," ","Business","T-Mobile","Basic subscriber information from a service provider
Location information
","Mon, 2017-07-24","Sun, 2017-09-24","tends to show that a felony has been committed or that a particular person has committed a felony","lead to flight from prosecution
lead to destruction of or tampering with evidence
lead to intimidation of potential witnesses
otherwise seriously jeopardize an investigation or unduly delay a trial
","No"," "
"Oxnard Police Department","Ventura","sealed ","04/22/2020 - 18:10","Burglary and Felony evading","Theft/Fraud"," "," ","Business","T-Mobile/ATT/Verizon/Sprint","Basic subscriber information from a service provider
Location information
","Mon, 2017-07-24","Fri, 2017-09-01","tends to show that a felony has been committed or that a particular person has committed a felony","lead to flight from prosecution
lead to destruction of or tampering with evidence
lead to intimidation of potential witnesses
otherwise seriously jeopardize an investigation or unduly delay a trial
","No"," "
"Montclair Police Department","San Bernardino","35560","04/22/2020 - 19:32","Ongoing attempted murder investigation","Arrest/Warrant Fugitive"," "," ","Device Only"," ","Basic subscriber information from a service provider
Location information
Communications (email, text, voice mail, or other communication)
","Wed, 2020-04-15","Sat, 2020-04-25","was used as the means of committing a felony","lead to flight from prosecution","No"," "
"Montclair Police Department","San Bernardino","35808","04/22/2020 - 19:36","ongoing attempted murder investigation","Homicide"," "," ","Device Only"," ","Stored files (picture, documents, or other files)","Sun, 2019-09-01","Tue, 2020-04-21","is possessed by a person with the intent to use it as a eans of committing a public offense or is possessed by another to whom he or she may have delivered it for the purposes of concealing it or preventing its discovery","otherwise seriously jeopardize an investigation or unduly delay a trial","No"," "
"Montclair Police Department","San Bernardino","35552","04/22/2020 - 19:37","Ongoing attempted murder investigation.","Homicide"," "," ","Device Only"," ","Basic subscriber information from a service provider
Stored files (picture, documents, or other files)
Communications (email, text, voice mail, or other communication)
","Fri, 2019-11-01","Wed, 2020-04-15","tends to show that a felony has been committed or that a particular person has committed a felony","otherwise seriously jeopardize an investigation or unduly delay a trial","No"," "
"Montclair Police Department","San Bernardino","34236","04/22/2020 - 19:39","Ongoing attempted murder investigation.","Homicide"," "," ","Device Only"," ","Other transactional and account records from a service provider
Location information
Stored files (picture, documents, or other files)
Communications (email, text, voice mail, or other communication)
","Fri, 2019-11-01","Thu, 2020-04-09","tends to show that a felony has been committed or that a particular person has committed a felony","otherwise seriously jeopardize an investigation or unduly delay a trial","No"," "
"California Highway Patrol","Lake","19-076","04/23/2020 - 09:44","murder case","Homicide"," "," ","Business","Verizon and Sprint","Basic subscriber information from a service provider
Other transactional and account records from a service provider
Location information
Stored files (picture, documents, or other files)
Communications (email, text, voice mail, or other communication)
","Fri, 2019-02-01","Thu, 2019-07-18","tends to show that a felony has been committed or that a particular person has committed a felony","lead to flight from prosecution
lead to destruction of or tampering with evidence
otherwise seriously jeopardize an investigation or unduly delay a trial
","No"," "
"Long Beach Police Department","Los Angeles"," ","04/23/2020 - 10:23","This is a search warrant for Ring camera data and video.  No data was yielded.  Letter was also sent to person addressed resident.  ","Homicide"," "," ","Business","Ring","Video/Data 0600 to 2000 HRS","Wed, 2020-01-22","Wed, 2020-01-22","tends to show that a felony has been committed or that a particular person has committed a felony","otherwise seriously jeopardize an investigation or unduly delay a trial","No"," "
